Name of person who asked you to complete this survey,Do you have a Costco membership?,How many cars do you own?,Do you prefer personally driving or relying on other transportation?,How many siblings do you have?,What is your favorite genre of music?,Do you prefer online shopping or in person shopping?,What type of food do you prefer?,Are you lactose intolerant?,How many close friends do you have?,How many kids do you have?,Are you a dog or cat person?,What color lightsaber would you pick?,What is your starter Pokemon?,What is your average daily cellular screen time?
Andrew Calderon,Yes,1,driving,0,electronic,online shopping,Mexican,No,5,2,dog,green blue,Charmander,more than 5 hours
Nicole Polo,No,1,driving,2,pop,online shopping,Japanese,No,12,0,cat,white,Bulbasaur,more than 5 hours
Andrew Calderon,Yes,1,driving,1,Alternative,online shopping,Japanese,No,5,1,dog,purple,Charmander,3 - 4 hours
Drew,Yes,1,driving,1.5,Alt,online shopping,Japanese,No,9,1,dog,orange,Squirtle,1 - 2 hours
Melvin,Yes,1,driving,0,R & B,in person shopping,Japanese,No,8,0,dog,purple,Charmander,more than 5 hours
Nicole,Yes,1,driving,0,rap,online shopping,Chinese,No,6,3,cat,purple,Charmander,more than 5 hours
Nicole,Yes,1,other transportation,1,pop,in person shopping,Mexican,No,5,1,cat,purple,Squirtle,1 - 2 hours
Nicole,Yes,2,driving,2,rap,online shopping,Mexican,No,2,0,dog,white,none,3 - 4 hours
Nicole Polo,Yes,3,driving,2,rock,online shopping,Chinese,No,3,1,dog,black,Squirtle,3 - 4 hours
Kevin,Yes,1,driving,2,Rock of the Yacht variety,in person shopping,Italian,Yes,10,0,dog,green blue,Charmander,more than 5 hours
Ms. Polo,Yes,1,driving,2,pop,in person shopping,Japanese,Yes,5,0,dog,purple,Charmander,3 - 4 hours
Nicole Pilo,Yes,1,other transportation,3,Mexican Banda,in person shopping,Japanese,Yes,3,0,cat,yellow,Squirtle,3 - 4 hours
Nicole Polo & Andrew Calderon,No,1,driving,2,R & B,in person shopping,Mexican,Yes,500,0,dog,red,none,3 - 4 hours
nicole polo,No,0,other transportation,2,pop,online shopping,Italian,No,19,0,cat,purple,Bulbasaur,more than 5 hours
Nicole Polo,Yes,1,driving,2,pop,online shopping,Chinese,Yes,5,0,dog,purple,Bulbasaur,more than 5 hours
Nicole Polo,No,1,driving,0,R & B,in person shopping,Japanese,No,9,0,dog,purple,Charmander,3 - 4 hours
Nicole Polo,Yes,3,driving,4,kpop,in person shopping,Japanese,No,5,0,cat,green blue,Squirtle,more than 5 hours
Julie Farias,Yes,1,driving,1,R & B,in person shopping,Mexican,No,4,1,dog,purple,Charmander,3 - 4 hours
Andrew first of his name Calderon and. majestrate of Daily City,Yes,3,driving,3,Classic Rock,online shopping,Mexican,No,5,3,neither,green blue,Charmander,1 - 2 hours
Nicole polo,No,0,driving,0,R & B,in person shopping,Japanese,No,1,0,dog,yellow,none,more than 5 hours
Polo,No,1,driving,3,pop,in person shopping,Japanese,No,10,0,dog,red,Charmander,more than 5 hours
Julie Faris ,Yes,0,other transportation,13,R & B,online shopping,Japanese,Yes,5,1,neither,green blue,Squirtle,3 - 4 hours
Nicole Polo,No,1,other transportation,1,rap,online shopping,Mexican,I don't know,10,0,dog,yellow,Squirtle,1 - 2 hours
Julie Farías ,Yes,1,driving,1,R & B,in person shopping,Mexican,No,4,0,dog,yellow,Squirtle,3 - 4 hours
Ms. Polo,No,2,other transportation,1,pop,online shopping,Japanese,Yes,5,0,neither,green blue,Charmander,3 - 4 hours
Julie Farias ,No,1,driving,0,pop,online shopping,Mediterranean,No,6,0,cat,green blue,Charmander,more than 5 hours
Andrew calderon,Yes,1,driving,0,Latin,online shopping,Mexican,No,3,0,dog,red,Charmander,more than 5 hours
Julie Farias ,No,0,driving,1,pop,online shopping,Mediterranean,Yes,1,0,dog,green blue,none,1 - 2 hours
Nicole,Yes,1,driving,2,pop,online shopping,Chinese,No,5,0,cat,orange,Charmander,3 - 4 hours
Julie Farias ,Yes,1,driving,3,rap,in person shopping,Italian,No,8,1,dog,black,Squirtle,1 - 2 hours
Andrew,Yes,1,driving,7,R & B,in person shopping,Mexican,Yes,4,0,dog,purple,Charmander,3 - 4 hours
Nicole Polo,Yes,2,driving,1,Punk rock,online shopping,Chinese,No,6,1,dog,red,Squirtle,3 - 4 hours
Brittany,No,1,driving,1,R & B,online shopping,Japanese,No,4,1,dog,red,none,3 - 4 hours
Nicole Polo,Yes,1,driving,4,reggae,online shopping,Chinese,I don't know,7,0,dog,purple,Charmander,more than 5 hours
Nicole Polo,Yes,1,driving,1,R & B,online shopping,Mexican,No,4,0,dog,orange,Charmander,3 - 4 hours
Andrew,Yes,2,driving,2,rap,online shopping,Japanese,I don't know,0,1,dog,white,Charmander,1 - 2 hours
A teacher who’s name I do not know. ,No,1,driving,4,electronic,online shopping,Mexican,No,4,0,cat,purple,Charmander,3 - 4 hours
Julie ,Yes,1,driving,2,R & B,online shopping,Japanese,No,3,0,cat,green blue,Charmander,3 - 4 hours
Nicole Polo,No,2,driving,1,Classic rock,online shopping,Japanese,Yes,7,2,cat,green blue,none,3 - 4 hours
Michael Fung,No,1,driving,1,rap,online shopping,Chinese,No,8,0,cat,green blue,Squirtle,3 - 4 hours
Nicole Polo,Yes,0,other transportation,2,R & B,online shopping,Chinese,Yes,3,0,cat,purple,Bulbasaur,more than 5 hours
Nicole Polo,Yes,2,driving,5,pop,in person shopping,Mexican,Yes,5,2,dog,white,Squirtle,3 - 4 hours
Julie,No,1,driving,1,R & B,in person shopping,Japanese,No,6,0,cat,black,Squirtle,3 - 4 hours
Andrew,Yes,1,driving,2,EDM & Alternative Rock,online shopping,Chinese,No,10,0,dog,purple,Squirtle,1 - 2 hours
Nicole,Yes,1,driving,0,pop,online shopping,Japanese,No,2,0,dog,purple,Bulbasaur,3 - 4 hours
Nicole Polo-Calderons,Yes,2,driving,3,R & B,online shopping,Japanese,No,5,1,cat,white,Bulbasaur,3 - 4 hours
Nicole Polo,Yes,5,other transportation,3,R & B,in person shopping,Japanese,Yes,5,1,cat,orange,Bulbasaur,3 - 4 hours
Nigole,No,1,driving,1,pop,online shopping,Mexican,Yes,7,0,dog,purple,Bulbasaur,3 - 4 hours
Fern,Yes,1,driving,2,pop,online shopping,Japanese,No,10,0,dog,green blue,Squirtle,more than 5 hours
Andrew,Yes,1,driving,2,rap,online shopping,Mexican,I don't know,5,0,dog,purple,Squirtle,3 - 4 hours
Nicole Polo,Yes,1,driving,2,reggae,in person shopping,Mexican,Yes,5,0,dog,red,Charmander,more than 5 hours
Nicole,Yes,1,driving,1,Rock,in person shopping,Mexican,No,5,0,dog,purple,Squirtle,1 - 2 hours
Nicole Polo,Yes,2,driving,1,pop,in person shopping,Chinese,No,4,1,dog,white,Charmander,more than 5 hours
Ms.Polo,Yes,2,driving,4,R & B,in person shopping,Mexican,No,10,0,dog,green blue,Charmander,3 - 4 hours
Nicole,Yes,1,driving,4,R & B,in person shopping,Japanese,No,6,1,dog,green blue,Squirtle,more than 5 hours
Andrew Calderon,Yes,1,driving,4,indie,online shopping,Japanese,Yes,5,0,dog,white,Bulbasaur,3 - 4 hours
Suzanne,No,1,other transportation,1,"musicials, electic",online shopping,Mediterranean,No,4,0,dog,green blue,none,Less than 1 hour
Andrew,Yes,1,driving,1,R & B,online shopping,Japanese,No,3,1,dog,white,Squirtle,3 - 4 hours
Andrew,Yes,1,driving,2,rap,in person shopping,Japanese,No,5,0,dog,black,Squirtle,3 - 4 hours
Julie faria ,Yes,1,driving,1,rap,in person shopping,Japanese,No,3,0,neither,black,Bulbasaur,more than 5 hours
Nicole Polo,Yes,2,driving,2,R & B,in person shopping,Italian,No,5,2,neither,white,none,more than 5 hours
Nicole Polo,Yes,1,driving,1,electronic,in person shopping,Chinese,Yes,20,0,neither,green blue,Charmander,more than 5 hours
Andrew Calderon,Yes,1,driving,2,rap,online shopping,Mexican,Yes,5,0,dog,green blue,Charmander,more than 5 hours
Nicole + Andrew,Yes,2,driving,3,country,online shopping,Japanese,Yes,10,1,dog,white,Bulbasaur,3 - 4 hours
Nicole,Yes,1,driving,2,R & B,online shopping,Japanese,Yes,5,2,dog,purple,Charmander,1 - 2 hours
Joseph,Yes,2,driving,2,pop,online shopping,Mexican,No,2,1,neither,red,Charmander,more than 5 hours
Andrew,Yes,1,driving,2,Metal,in person shopping,Mexican,No,3,0,cat,black,Charmander,3 - 4 hours
Andrew Calderon,Yes,1,driving,2,pop,in person shopping,Japanese,Yes,10,0,dog,white,Bulbasaur,more than 5 hours
Nicole ,Yes,1,driving,1,R & B,online shopping,Chinese,Yes,8,1,dog,purple,Bulbasaur,1 - 2 hours
Julie Farias,No,1,driving,3,R & B,online shopping,Japanese,No,7,0,dog,yellow,Squirtle,3 - 4 hours
Nicole Polo,Yes,0,driving,2,pop,in person shopping,Japanese,Yes,4,0,dog,purple,none,more than 5 hours
Julie Farias,Yes,3,driving,3,country,online shopping,Italian,Yes,10,2,dog,purple,none,3 - 4 hours
Andrew calderon ,Yes,1,driving,1,country,online shopping,Mexican,No,3,0,dog,yellow,Charmander,more than 5 hours
Andy,No,2,driving,2,Metal,online shopping,Mexican,Yes,1,1,cat,purple,Squirtle,3 - 4 hours
Julie Faria,No,1,driving,2,country,online shopping,Mexican,No,2,0,dog,green blue,Charmander,3 - 4 hours
Kenneth Chen ,Yes,3,driving,2,rap,online shopping,Italian,No,5,0,cat,white,Charmander,more than 5 hours
Andrew Calderon,Yes,2,driving,3,All types,in person shopping,Mexican,No,5,1,cat,purple,Squirtle,3 - 4 hours
Kenneth Chen aka PikaPlaya,Yes,1,driving,2,rap,online shopping,Italian,Yes,7,0,dog,purple,Squirtle,3 - 4 hours
"Andrew Calderon, Nicole Polo",Yes,1,driving,2,R & B,online shopping,Japanese,No,3,1,dog,black,Charmander,1 - 2 hours
Kennysizzle,Yes,2,driving,1,electronic,online shopping,Mediterranean,No,8,0,cat,purple,Squirtle,3 - 4 hours
Nicole,Yes,3,driving,3,R & B,online shopping,Chinese,Yes,10,2,dog,purple,Squirtle,1 - 2 hours
Nicole Polo,Yes,1,driving,0,rock,in person shopping,Japanese,No,3,0,dog,orange,Squirtle,more than 5 hours
Andrew ,Yes,1,driving,3,R & B,in person shopping,Mexican,No,2,0,dog,purple,none,3 - 4 hours
Nicole,Yes,2,driving,1,Tuva throat singing,in person shopping,Mediterranean,Yes,5,0,neither,yellow,Bulbasaur,more than 5 hours
Nicole,Yes,1,driving,0,electronic,online shopping,Mexican,Yes,5,0,cat,purple,Squirtle,more than 5 hours
Andrew,No,2,driving,3,country,online shopping,Chinese,Yes,20,0,cat,green blue,Charmander,more than 5 hours
Ms. Polo,Yes,1,driving,6,pop,in person shopping,Japanese,No,2,0,dog,green blue,Squirtle,more than 5 hours
Nicole,No,1,driving,3,Latin/hip hop,in person shopping,Mexican,No,5,0,dog,orange,Charmander,3 - 4 hours
Nicole,Yes,2,driving,4,Metal,online shopping,Mediterranean,No,4,2,cat,red,none,3 - 4 hours
Nicole P.,No,1,driving,6,R & B,in person shopping,Japanese,No,10,0,neither,green blue,none,3 - 4 hours
Kenneth Chen,Yes,2,driving,0,electronic,online shopping,Chinese,No,10,1,dog,green blue,Charmander,3 - 4 hours
Megan,No,2,driving,0,All,online shopping,Japanese,Yes,3,0,cat,red,Bulbasaur,more than 5 hours
Nicole,Yes,4,driving,3,R & B,online shopping,Japanese,Yes,4,3,dog,red,Charmander,more than 5 hours
Ken Chen,Yes,1,driving,3,electronic,online shopping,Japanese,No,2,0,dog,white,Charmander,3 - 4 hours
Kenneth Chen,Yes,1,driving,2,R & B,online shopping,Japanese,Yes,4,0,dog,green blue,Bulbasaur,3 - 4 hours
Polo,Yes,1,driving,1,rap,in person shopping,Italian,No,4,0,cat,green blue,Squirtle,3 - 4 hours
Kenneth Chen,No,1,driving,4,pop,online shopping,Japanese,No,4,3,dog,green blue,Charmander,more than 5 hours
Kenneth Chen,Yes,1,driving,2,R & B,online shopping,Japanese,No,3,0,dog,white,Squirtle,1 - 2 hours
Kenneth Chen,Yes,2,driving,2,pop,online shopping,Japanese,Yes,5,3,dog,red,none,Less than 1 hour
Julie ,Yes,2,driving,2,R & B,online shopping,Mexican,No,5,0,dog,purple,Charmander,more than 5 hours
Megan,Yes,1,driving,2,Rock,online shopping,Japanese,Yes,8,0,dog,red,Charmander,more than 5 hours
Julie Faria,Yes,2,other transportation,4,R & B,in person shopping,Japanese,No,4,0,dog,orange,Squirtle,more than 5 hours
Kenneth Chen,No,1,driving,2,electronic,online shopping,Japanese,Yes,8,0,cat,purple,Squirtle,3 - 4 hours
Andrew,No,3,driving,1,Alternative rock,in person shopping,Japanese,No,12,0,dog,red,Charmander,more than 5 hours
Joyce Tsai,Yes,4,driving,0,Easy listening ,online shopping,Chinese,No,1,2,dog,green blue,none,3 - 4 hours
Kenneth,Yes,1,driving,8,R & B,online shopping,Mexican,No,6,0,dog,purple,Charmander,more than 5 hours
Julie Faria,No,2,driving,4,rap,online shopping,Mexican,I don't know,5,0,dog,purple,Charmander,more than 5 hours
joyce,Yes,4,driving,3,R & B,in person shopping,Chinese,No,1,2,neither,green blue,Charmander,more than 5 hours
joyce,No,1,driving,1,pop,online shopping,Japanese,No,2,0,dog,purple,Bulbasaur,more than 5 hours
Julie ,No,1,driving,1,All,online shopping,Mexican,I don't know,0,0,neither,black,Squirtle,more than 5 hours
Jillian Lampaya,Yes,2,driving,0,R & B,online shopping,Chinese,Yes,3,0,cat,black,Charmander,3 - 4 hours
Jillian Lampaya,Yes,2,driving,2,pop,online shopping,Chinese,No,3,0,cat,green blue,Charmander,more than 5 hours
Jillian Lampaya,Yes,1,driving,2,Kpop,in person shopping,Japanese,No,7,0,dog,purple,Squirtle,more than 5 hours
Jillian Lampaya ,Yes,1,driving,1,pop,online shopping,Japanese,No,4,0,cat,white,Bulbasaur,more than 5 hours
